,Instrument,Original Announcement Date Time,Debt - Long-Term - Total,Total Current Assets,Total Current Liabilities,Net Income after Tax,Revenue from Business Activities - Total,Cost of Operating Revenue,Operating Profit before Non-Recurring Income/(Expense),Net Cash Flow from Operating Activities,Total Shareholders' Equity incl Minority Intr & Hybrid Debt
5623,LYV.N,2019-02-28T21:22:58Z,2732878000.0,3848074000.0,3749866000.0,-135185000.0,2601855000.0,2085652000.0,-90473000.0,686010000.0,1342743000.0
5624,LYV.N,2018-11-01T20:33:41Z,2731985000.0,3881047000.0,3608798000.0,183197000.0,3835246000.0,3023962000.0,244537000.0,-264250000.0,1550929000.0
5625,LYV.N,2018-07-26T20:26:04Z,2743104000.0,4263356000.0,4206751000.0,83356000.0,2868315000.0,2224892000.0,134833000.0,-255672000.0,1405520000.0
5626,TPR.N,2021-05-06T10:47:48Z,1593700000.0,2896600000.0,1291100000.0,91700000.0,1273300000.0,361400000.0,182900000.0,198300000.0,3015000000.0
5627,TPR.N,2021-02-04T11:48:04Z,1593700000.0,2877200000.0,1533100000.0,307700000.0,1685400000.0,511700000.0,411100000.0,656300000.0,2890700000.0
5628,TPR.N,2020-10-29T10:49:20Z,1592800000.0,2845500000.0,1819000000.0,140000000.0,1172200000.0,342000000.0,228800000.0,90000000.0,2530100000.0
5629,TPR.N,2020-08-13T10:48:51Z,1592300000.0,2553100000.0,1742100000.0,-293800000.0,714800000.0,200200000.0,-62500000.0,-39100000.0,2276400000.0
5630,TPR.N,2020-04-30T11:16:52Z,1591900000.0,2131900000.0,1138900000.0,-677100000.0,1072700000.0,352500000.0,-31600000.0,-115600000.0,2553100000.0
5631,TPR.N,2020-02-06T11:47:13Z,1602900000.0,2511400000.0,1252300000.0,298800000.0,1816000000.0,604800000.0,373300000.0,556000000.0,3322400000.0
5632,TPR.N,2019-11-05T12:54:34Z,1602400000.0,2203900000.0,1212000000.0,20000000.0,1357900000.0,439300000.0,166500000.0,5700000.0,3086900000.0
5633,TPR.N,2019-08-15T11:21:32Z,1601900000.0,2556800000.0,918000000.0,103400000.0,1513700000.0,514500000.0,169900000.0,189500000.0,3513400000.0
5634,TPR.N,2019-05-09T10:48:15Z,1601500000.0,2662400000.0,996600000.0,117400000.0,1331400000.0,415500000.0,105800000.0,3200000.0,3531200000.0
5635,TPR.N,2019-02-07T11:52:04Z,1601000000.0,2828500000.0,1081100000.0,288900000.0,1800800000.0,597300000.0,380700000.0,618300000.0,3488400000.0
5636,TPR.N,2018-10-30T10:48:59Z,1600500000.0,2467500000.0,899400000.0,122300000.0,1381200000.0,445500000.0,185800000.0,-19300000.0,3309600000.0
5637,TPR.N,2018-08-14T10:45:00Z,1599900000.0,2432600000.0,938200000.0,189000000.0,1483700000.0,480500000.0,197200000.0,410200000.0,3244600000.0
5638,EMN.N,2021-04-29T20:54:02Z,5200000000.0,3797000000.0,2016000000.0,277000000.0,2409000000.0,1811000000.0,394000000.0,216000000.0,6319000000.0
5639,EMN.N,2021-01-28T21:54:09Z,5269000000.0,3541000000.0,2038000000.0,34000000.0,2186000000.0,1661000000.0,84000000.0,406000000.0,6108000000.0
5640,EMN.N,2020-10-29T20:45:38Z,5495000000.0,3534000000.0,1789000000.0,165000000.0,2122000000.0,1628000000.0,301000000.0,442000000.0,6156000000.0
5641,EMN.N,2020-08-05T17:21:38Z,5431000000.0,3526000000.0,1878000000.0,30000000.0,1924000000.0,1553000000.0,195000000.0,436000000.0,6098000000.0
5642,EMN.N,2020-04-30T20:41:36Z,5399000000.0,3851000000.0,2315000000.0,260000000.0,2241000000.0,1664000000.0,384000000.0,171000000.0,6192000000.0
5643,EMN.N,2020-01-30T21:46:34Z,5610000000.0,3321000000.0,1789000000.0,27000000.0,2205000000.0,1708000000.0,137000000.0,671000000.0,6032000000.0
5644,EMN.N,2019-11-01T19:00:16Z,5567000000.0,3440000000.0,2080000000.0,267000000.0,2325000000.0,1751000000.0,371000000.0,416000000.0,6097000000.0
5645,EMN.N,2019-07-25T20:59:47Z,5623000000.0,3516000000.0,2226000000.0,259000000.0,2363000000.0,1774000000.0,388000000.0,422000000.0,5946000000.0
5646,EMN.N,2019-04-25T20:41:44Z,5599000000.0,3551000000.0,2352000000.0,209000000.0,2380000000.0,1806000000.0,349000000.0,-5000000.0,5919000000.0
5647,EMN.N,2019-01-31T21:43:08Z,5925000000.0,3365000000.0,1851000000.0,11000000.0,2376000000.0,1910000000.0,171000000.0,740000000.0,5878000000.0
5648,EMN.N,2018-10-25T20:36:07Z,5898000000.0,3647000000.0,2153000000.0,427000000.0,2547000000.0,1819000000.0,521000000.0,395000000.0,5995000000.0
5649,EMN.N,2018-07-26T17:00:00Z,6033000000.0,3498000000.0,2068000000.0,336000000.0,2621000000.0,1917000000.0,488000000.0,443000000.0,5774000000.0
5650,BLL.N,2021-05-06T10:00:21Z,6941000000.0,4237000000.0,4984000000.0,201000000.0,3125000000.0,2661000000.0,307000000.0,-477000000.0,3554000000.0
5651,BLL.N,2021-02-04T11:04:00Z,7783000000.0,4675000000.0,4444000000.0,195000000.0,3102000000.0,2617000000.0,323000000.0,1087000000.0,3337000000.0
5652,BLL.N,2020-11-05T11:00:25Z,7679000000.0,4025000000.0,3764000000.0,232000000.0,3093000000.0,2590000000.0,382000000.0,577000000.0,2953000000.0
5653,BLL.N,2020-08-06T12:30:29Z,7158000000.0,4010000000.0,4126000000.0,88000000.0,2801000000.0,2400000000.0,290000000.0,476000000.0,2830000000.0
