,Date,Instrument,e_p,b_p,ebit_ev,rev_ev,90_days,1_yr,fwd_ret
35362,2020-04-29,HIG.N,0.0212446995332696,1.1836785575775477,0.0246387420668868,0.2900465693194565,-0.2968215994531784,-0.2107786728039893,-0.0157958687727824
38324,2020-07-30,HIG.N,0.0335415116167799,1.2125654890748652,0.0363800418189971,0.2785106524753438,0.0660700184259015,-0.2954070981210855,-0.0446913580246913
40981,2020-10-29,HIG.N,0.0343100734944819,1.3230206706437326,0.0390062285753349,0.2918975513213558,-0.0857750472589792,-0.3273643949930459,0.3166192814680797
43384,2021-02-04,HIG.N,0.0303116204838476,1.0382299783020164,0.033369518045942,0.2412385239467833,0.2889676113360322,-0.1483029593713426,0.3085983510011778
1004,2016-10-17,IEX.N,0.0098087098508345,0.2182534452451734,0.0141877051345194,0.0664195196695432,-0.0018361257746155,0.1614367739351048,0.0579443550241434
3718,2017-01-30,IEX.N,0.0083518576781505,0.2248484307487854,0.014212052679883,0.0693748701963986,0.0698755958609462,0.3054333948077741,0.0215170615083677
5634,2017-04-19,IEX.N,0.0106341800415041,0.229962619705411,0.0153429091162156,0.0703210739476336,0.0372986095784595,0.1285868651698882,0.2036170212765957
8236,2017-07-25,IEX.N,0.0097226690790077,0.2002666433949514,0.0134237612645615,0.0616917810951866,0.0934570406881221,0.2751042488448101,0.1053561958635318
10233,2017-10-16,IEX.N,0.0090233634606334,0.1950040964705641,0.0126683280338247,0.0582921063680066,0.1031136985093057,0.4409494181357298,0.1247401247401247
12897,2018-01-29,IEX.N,0.0092976604791578,0.1871058711376627,0.0122049840476446,0.0554526270468315,0.0886154322420864,0.5601153504880214,-0.0497653917247262
15783,2018-04-30,IEX.N,0.0090658342370219,0.1847727832528551,0.0125647266516949,0.0538871480960989,-0.0497653917247262,0.2772097467749641,0.0444411192578182
17623,2018-07-24,IEX.N,0.0102312128437734,0.1899765440640444,0.0137862367889568,0.0583538768487324,0.0088892100888919,0.1927546138072453,-0.0729942693409742
20037,2018-10-23,IEX.N,0.0092058504968836,0.1783636996179256,0.0124957299447548,0.052301036378366,-0.1317096081588835,0.0186555415617126,0.0748782937949152
22533,2019-01-29,IEX.N,0.0101324999938809,0.2059436276612757,0.0142725607708932,0.060995970117131,0.0964843134163644,-0.0370370370370369,0.1022286125089864
25014,2019-04-25,IEX.N,0.0095877065618879,0.1787006323920102,0.0124369628816529,0.0523158411244695,0.1210880374378473,0.1178186060075823,0.0776806678841637
27724,2019-07-25,IEX.N,0.0086868523857305,0.1620629843882609,0.0118298479169117,0.0481404267626679,0.0776806678841637,0.0988229035046883,-0.0178539006233734
30485,2019-10-29,IEX.N,0.0084630255160512,0.1740210727947527,0.0127087737765366,0.0489106249917258,-0.0353109023897276,0.2956487025948104,0.0607591816613259
32659,2020-01-29,IEX.N,0.0074031341042029,0.1729993577235006,0.0105329224563829,0.0455672195278359,0.0801957831325299,0.2486580589003335,-0.1149064714767048
35009,2020-04-23,IEX.N,0.009686970141689,0.2117676826146249,0.0126260984401042,0.0542416006453521,-0.1230574421549441,-0.0270132192349447,0.1217511157784194
37636,2020-07-23,IEX.N,0.0059474953214962,0.189765000271365,0.009530300044215,0.0459540823526208,0.1217511157784194,0.0124400213257507,0.0882920835527469
40420,2020-10-27,IEX.N,0.0075395020771724,0.1739911733832529,0.0096722050525761,0.0416856586225852,0.1164465786314525,0.1904761904761904,0.0472580645161289
43270,2021-02-03,IEX.N,0.0067018588422734,0.1684418602992008,0.0096479267545699,0.0407185597115412,0.0896733049899305,0.1378585197733512,0.1611992402074029
1775,2016-10-27,CBRE.N,0.011092257543648,0.3125491124203942,0.0170089075929995,0.2391629179910055,-0.0653778558875219,-0.2867489270386266,0.2786761940579165
4335,2017-02-10,CBRE.N,0.0249583665729614,0.2838252140871167,0.0352506553816082,0.5926298979933097,0.2472487160674981,0.3980263157894737,0.0588235294117647
