Instrument,Original Announcement Date Time,e_p,b_p,ebit_ev,rev_ev
ATVI,2020-10-29T20:05:01Z,0.0096666226560173,0.230174448739803,0.0134735302959197,0.0334102515205928
ATVI,2020-08-04T20:18:33Z,0.0099179467684957,0.2339609442871711,0.0137850727174363,0.0353219635147041
ATVI,2020-05-05T20:05:01Z,0.0110374561270516,0.2845915172878017,0.0149358173600911,0.0421218319240424
ATVI,2020-02-06T21:16:33Z,0.0115005442795099,0.2805037514269043,0.0113973495911611,0.0467668105124916
ATVI,2019-11-07T21:05:02Z,0.0050257430452048,0.3014214027356928,0.0072034762204824,0.0335812964169397
ATVI,2019-08-08T20:05:01Z,0.0090719211333352,0.3312634128474269,0.0115637338242196,0.0408682846040774
ATVI,2019-05-02T20:10:00Z,0.0128531909367959,0.3334353514610412,0.0191633400777579,0.0559569530270532
ATVI,2019-02-12T22:15:41Z,0.0193047629186905,0.3205828850870585,0.0195972531340096,0.070378672265576
ATVI,2018-11-08T21:19:55Z,0.0040993447600181,0.1680573684501297,0.0045391727970686,0.0240815062076062
ATVI,2018-08-02T20:17:44Z,0.0069196822022898,0.1780871444400275,0.0078254927551112,0.0284736887164913
ATVI,2018-05-03T16:00:00Z,0.0097699581317623,0.1918624377915484,0.0118167411359481,0.0390250358523328
ATVI,2018-02-08T17:00:00Z,-0.0122190104118993,0.1976346607134902,0.0050049189636231,0.0429623926163113
ATVI,2017-11-02T17:00:00Z,0.0038603723894242,0.2046613383265511,0.0052714530789479,0.0326789696618308
ATVI,2017-08-03T17:00:00Z,0.0056005823979363,0.2239080575965086,0.0074386460968294,0.0366538724589996
ATVI,2017-05-04T04:00:00Z,0.011363912420533,0.2517133276998825,0.0128131822181409,0.0446778838555784
ATVI,2017-02-09T17:00:00Z,0.0094271304851855,0.3397865727051649,0.0152741795139311,0.0707176954966837
ATVI,2016-11-03T17:00:00Z,0.0060279494375812,0.2684568592959179,0.0081011959679786,0.0445707904483875
ATVI,2016-08-04T17:00:00Z,0.0051271601668922,0.2923848537839779,0.0071834679614497,0.0490349769542442
DGX,2021-04-22T10:45:03Z,0.0277887232481866,0.400502004933801,0.0346881742870475,0.1377399037383493
DGX,2021-02-04T11:49:01Z,0.0358653651999661,0.4208576447683525,0.037797136056301,0.157593058945855
DGX,2020-10-22T10:54:36Z,0.0368098760628626,0.4162247470005673,0.0476981753284376,0.1508366815721081
DGX,2020-07-23T10:46:48Z,0.0120734286757987,0.3826095793944702,0.0147197871400089,0.0963908641748972
DGX,2020-04-22T10:45:04Z,0.0092211379574021,0.5269088628790302,0.0126441345233573,0.1252044190302014
DGX,2020-01-30T11:51:53Z,0.0175190984769093,0.3921636290009737,0.0223398173817571,0.10650120860709
DGX,2019-10-22T10:47:42Z,0.0148469493366294,0.3888651917374203,0.0184553476812104,0.1080798205522382
DGX,2019-07-23T10:53:49Z,0.0165195899352425,0.3990285020198639,0.0192464451367657,0.1115380040121764
