,Instrument,Common Equity - Total,Original Announcement Date Time
6471,AES,3193000000.0,2018-05-08T23:00:00Z
6472,AES,2465000000.0,2018-02-27T17:00:00Z
6473,AES,3186000000.0,2017-11-02T17:00:00Z
6474,AES,3021000000.0,2017-08-08T11:00:00Z
6475,AES,2991000000.0,2017-05-08T11:00:00Z
6476,AES,2794000000.0,2017-02-27T11:19:00Z
6477,AES,2882000000.0,2016-11-04T17:00:00Z
6478,AES,2766000000.0,2016-08-05T11:07:00Z
6479,ODFL,3191917000.0,2021-04-22T11:02:54Z
6480,ODFL,3326288000.0,2021-02-04T12:04:48Z
6481,ODFL,3170833000.0,2020-10-27T11:03:00Z
6482,ODFL,2982468000.0,2020-07-30T11:03:23Z
6483,ODFL,3016049000.0,2020-04-23T11:05:01Z
6484,ODFL,3080717000.0,2020-02-06T12:03:59Z
6485,ODFL,2909528000.0,2019-10-24T11:02:31Z
6486,ODFL,2798485000.0,2019-07-25T11:01:56Z
6487,ODFL,2770371000.0,2019-04-25T11:03:46Z
6488,ODFL,2680483000.0,2019-02-07T13:29:56Z
6489,ODFL,2616932000.0,2018-10-25T11:02:30Z
6490,ODFL,2482051000.0,2018-07-26T17:00:00Z
6491,ODFL,2358751000.0,2018-04-26T17:00:00Z
6492,ODFL,2276854000.0,2018-02-08T17:00:00Z
6493,ODFL,2087016000.0,2017-10-26T14:01:00Z
6494,ODFL,1992991000.0,2017-07-27T17:00:00Z
6495,ODFL,1909363000.0,2017-04-27T17:00:00Z
6496,ODFL,1851158000.0,2017-02-02T17:00:00Z
6497,ODFL,1793475000.0,2016-10-27T16:04:00Z
6498,ODFL,1741769000.0,2016-07-28T17:00:00Z
6499,MOS,9624200000.0,2021-05-03T20:06:51Z
6500,MOS,9581400000.0,2021-02-17T21:11:56Z
6501,MOS,8532800000.0,2020-11-03T20:59:17Z
6502,MOS,8493000000.0,2020-08-04T18:09:29Z
6503,MOS,8386200000.0,2020-05-05T18:24:01Z
6504,MOS,9185500000.0,2020-02-19T21:34:52Z
6505,MOS,10100400000.0,2019-11-04T22:24:00Z
6506,MOS,10473000000.0,2019-08-06T10:00:00Z
6507,MOS,10601200000.0,2019-05-06T21:03:00Z
6508,MOS,10397300000.0,2019-02-25T21:50:40Z
6509,MOS,10441600000.0,2018-11-05T21:30:00Z
6510,MOS,10196400000.0,2018-08-06T17:00:00Z
6511,MOS,10455000000.0,2018-05-07T17:00:00Z
6512,MOS,9617500000.0,2018-02-19T17:00:00Z
6513,MOS,10114200000.0,2017-10-31T17:00:00Z
6514,MOS,9756100000.0,2017-08-01T11:45:00Z
6515,MOS,9621800000.0,2017-05-01T22:25:44Z
6516,MOS,9584600000.0,2017-02-07T11:53:00Z
6517,MOS,9836700000.0,2016-11-01T17:00:00Z
6518,MOS,9957700000.0,2016-08-02T17:00:00Z
6519,ETR,11017176000.0,2021-04-28T11:20:23Z
6520,ETR,10926142000.0,2021-02-26T17:48:25Z
6521,ETR,10771839000.0,2020-10-28T11:37:39Z
6522,ETR,10425988000.0,2020-08-05T14:43:07Z
6523,ETR,10223967000.0,2020-05-11T18:34:31Z
6524,ETR,10223675000.0,2020-02-19T15:14:50Z
6525,ETR,10035061000.0,2019-11-05T17:12:26Z
6526,ETR,9797503000.0,2019-07-31T14:26:42Z
6527,ETR,8970367000.0,2019-05-03T15:35:13Z
6528,ETR,8844305000.0,2019-02-20T15:28:15Z
6529,ETR,8412712000.0,2018-10-31T14:12:49Z
6530,ETR,8022461000.0,2018-08-01T17:00:00Z
6531,ETR,7974943000.0,2018-04-25T17:00:00Z
6532,ETR,7992515000.0,2018-02-23T17:00:00Z
6533,ETR,8690237000.0,2017-10-24T16:00:00Z
6534,ETR,8370856000.0,2017-08-02T17:00:00Z
6535,ETR,8057189000.0,2017-04-25T19:30:00Z
6536,ETR,8081809000.0,2017-02-15T17:00:00Z
6537,ETR,10069062000.0,2016-10-25T17:00:00Z
6538,ETR,9757787000.0,2016-08-02T17:00:00Z
6539,NCLH,4377261000.0,2021-05-06T11:06:15Z
6540,NCLH,4354105000.0,2021-02-25T12:06:39Z
6541,NCLH,4087766000.0,2020-11-09T21:22:00Z
6542,NCLH,4337025000.0,2020-08-06T11:31:55Z
6543,NCLH,4374654000.0,2020-05-14T11:02:57Z
6544,NCLH,6515579000.0,2020-02-20T13:08:05Z
6545,NCLH,6273424000.0,2019-11-07T14:11:55Z
6546,NCLH,6150343000.0,2019-08-08T12:19:16Z
6547,NCLH,5905302000.0,2019-05-09T11:39:19Z
6548,NCLH,5963001000.0,2019-02-21T13:19:17Z
6549,NCLH,6198090000.0,2018-11-08T12:53:32Z
6550,NCLH,5686793000.0,2018-08-09T11:47:51Z
6551,NCLH,5639073000.0,2018-05-02T17:00:00Z
6552,NCLH,5749766000.0,2018-02-22T17:00:00Z
6553,NCLH,5537604000.0,2017-11-09T17:00:00Z
6554,NCLH,4991749000.0,2017-08-08T11:00:00Z
6555,NCLH,4625282000.0,2017-05-10T12:00:00Z
6556,NCLH,4537726000.0,2017-02-22T22:31:00Z
6557,NCLH,4536727000.0,2016-11-09T17:00:00Z
6558,NCLH,4118361000.0,2016-08-09T16:00:00Z
6559,COF,56341000000.0,2021-04-27T20:08:02Z
6560,COF,55357000000.0,2021-01-26T21:07:21Z
6561,COF,53094000000.0,2020-10-22T20:05:14Z
6562,COF,50836000000.0,2020-07-21T20:08:48Z
6563,COF,51621000000.0,2020-04-23T20:07:26Z
6564,COF,53158000000.0,2020-01-21T21:08:27Z
6565,COF,52412000000.0,2019-10-24T20:09:21Z
6566,COF,51407000000.0,2019-07-18T20:08:00Z
6567,COF,49121000000.0,2019-04-25T20:09:32Z
6568,COF,47308000000.0,2019-01-22T21:08:02Z
6569,COF,46278000000.0,2018-10-23T20:08:32Z
6570,COF,45566000000.0,2018-07-19T17:00:00Z
6571,COF,44843000000.0,2018-04-24T17:00:00Z
6572,COF,44370000000.0,2018-01-23T16:00:00Z
6573,COF,45794000000.0,2017-10-24T17:00:00Z
6574,COF,44777000000.0,2017-07-20T21:05:00Z
6575,COF,43680000000.0,2017-04-25T21:05:00Z
6576,COF,43154000000.0,2017-01-24T16:00:00Z
6577,COF,44336000000.0,2016-10-25T21:05:00Z
6578,COF,44814000000.0,2016-07-21T17:00:00Z
6579,QRVO,4629425000.0,2021-05-05T20:00:00Z
6580,QRVO,4503701000.0,2021-02-03T21:00:00Z
6581,QRVO,4407166000.0,2020-11-04T21:00:01Z
6582,QRVO,4351245000.0,2020-07-29T20:31:16Z
6583,QRVO,4292665000.0,2020-05-07T20:39:39Z
6584,QRVO,4339377000.0,2020-01-29T21:00:10Z
6585,QRVO,4265494000.0,2019-10-31T20:11:28Z
6586,QRVO,4337343000.0,2019-08-01T20:00:01Z
6587,QRVO,4359679000.0,2019-05-07T20:09:55Z
6588,QRVO,4577320000.0,2019-02-07T21:00:05Z
6589,QRVO,4632137000.0,2018-10-31T20:13:19Z
6590,QRVO,4678105000.0,2018-08-01T20:18:06Z
6591,QRVO,4775564000.0,2018-05-02T17:00:00Z
6592,QRVO,4821078000.0,2018-01-31T17:00:00Z
6593,QRVO,4904576000.0,2017-11-01T17:00:00Z
6594,QRVO,4912681000.0,2017-08-02T21:00:00Z
6595,QRVO,4896722000.0,2017-05-03T17:00:00Z
6596,QRVO,4863116000.0,2017-02-01T21:01:00Z
6597,QRVO,4976376000.0,2016-11-03T21:01:00Z
6598,QRVO,5033576000.0,2016-08-02T21:00:00Z
6599,A,4810000000.0,2021-05-25T20:05:00Z
6600,A,4804000000.0,2021-02-16T21:05:00Z
6601,A,4873000000.0,2020-11-23T21:05:00Z
6602,A,4981000000.0,2020-08-18T20:05:00Z
6603,A,4768000000.0,2020-05-21T20:08:06Z
6604,A,4848000000.0,2020-02-18T21:05:00Z
6605,A,4748000000.0,2019-11-25T21:05:00Z
6606,A,4747000000.0,2019-08-14T20:05:00Z
6607,A,5125000000.0,2019-05-14T20:11:56Z
6608,A,5036000000.0,2019-02-20T21:05:00Z
6609,A,4567000000.0,2018-11-19T21:05:00Z
6610,A,4564000000.0,2018-08-14T20:05:00Z
6611,A,4613000000.0,2018-05-14T17:00:00Z
6612,A,4522000000.0,2018-02-14T17:00:00Z
6613,A,4831000000.0,2017-11-20T16:00:00Z
6614,A,4608000000.0,2017-08-15T17:00:00Z
6615,A,4372000000.0,2017-05-22T21:05:00Z
6616,A,4297000000.0,2017-02-14T21:05:00Z
6617,A,4243000000.0,2016-11-15T16:00:00Z
