Instrument,Original Announcement Date Time,e_p,b_p
UDR,2021-02-09T21:16:00Z,0.002251583563849634,0.28182879101945596
UDR,2020-10-29T20:24:34Z,-0.002739667281824048,0.3402992912412965
UDR,2020-07-28T20:16:00Z,0.005141512598194462,0.3039590550294491
UDR,2020-05-06T20:16:00Z,0.0003856165266280571,0.3172091756903512
UDR,2020-02-11T21:16:00Z,0.007022321507806947,0.24077015822179088
UDR,2019-10-29T20:16:00Z,0.0018428913413581377,0.22534358216942157
UDR,2019-07-30T20:16:00Z,0.0027342791359973775,0.229506400788279
UDR,2019-04-30T20:16:00Z,0.0018378441472669724,0.22709258775956792
UDR,2019-02-12T22:17:52Z,0.007434922064787871,0.261920887420954
UDR,2018-10-29T20:16:00Z,0.0016298816680671458,0.23535328659091195
UDR,2018-07-30T16:00:00Z,0.0019540663476499743,0.2698953851206796
UDR,2018-04-25T17:00:00Z,0.008477403489880003,0.2970473747522205
UDR,2018-02-06T17:00:00Z,0.0066240299878533495,0.26949864066462503
UDR,2017-10-30T17:00:00Z,0.0015000281065968091,0.2750466237789239
UDR,2017-07-26T16:00:00Z,0.0008855829230407894,0.2731369782718904
UDR,2017-04-24T06:48:59Z,0.0025823529216210594,0.30835045156326113
UDR,2017-01-30T07:46:00Z,0.024257629039183236,0.3125020784018372
UDR,2016-10-25T21:16:00Z,0.0027062614615386013,0.2990901897460248
UDR,2016-07-26T20:16:00Z,0.0017258966044436381,0.2941456424955233
AMT,2021-04-29T11:00:00Z,0.006066254049023366,0.03652355189763929
AMT,2021-02-25T12:00:01Z,0.003661687338067401,0.04105482639928487
AMT,2020-10-29T11:08:19Z,0.004331106594796919,0.03480273574462459
AMT,2020-07-30T11:00:01Z,0.003892247436513125,0.031587319870899945
AMT,2020-04-29T11:00:00Z,0.004297772957256961,0.0376381350261559
AMT,2020-02-25T12:06:08Z,0.005527691117041378,0.049661790782105884
AMT,2019-10-31T11:00:01Z,0.005093422490604292,0.05353303493735004
AMT,2019-07-31T11:00:00Z,0.004748168302430137,0.06061079439888389
AMT,2019-05-03T11:00:00Z,0.004562882996732795,0.061393395529769135
AMT,2019-02-27T12:06:56Z,0.003983882226759301,0.07657922892727055
AMT,2018-10-30T11:00:00Z,0.0057280390809298955,0.08353507416280075
AMT,2018-07-31T17:00:00Z,0.00481671432053887,0.08717357736881351
AMT,2018-05-01T17:00:00Z,0.004297200752068613,0.09869227340011968
AMT,2018-02-27T17:00:00Z,0.0035896415523366944,0.10201039806999654
AMT,2017-10-31T17:00:00Z,0.005086279281580632,0.11111687890475423
AMT,2017-07-27T12:00:00Z,0.00612064061800613,0.11527403875315288
AMT,2017-04-27T12:00:00Z,0.005571876757888453,0.1319767033268516
AMT,2017-02-27T12:07:00Z,0.004486765212907253,0.1499198559924691
AMT,2016-10-27T16:00:00Z,0.004929999719786629,0.13909634363860668
AMT,2016-07-28T17:00:00Z,0.003332557848981266,0.1404065732556324
HD,2021-05-18T10:03:57Z,0.011910316283655756,0.005022734104663513
HD,2021-02-23T11:00:07Z,0.00979884337840645,0.011314800246889353
HD,2020-11-17T11:00:19Z,0.01195396260917218,0.005346542134347114
